t=8 s=2 time=0.000291
t=8 s=1 time=0.000279
t=9 s=9 time=0.000302
t=9 s=7 time=0.000287
t=9 s=2 time=0.000329
t=10 s=10 time=0.00029
t=10 s=8 time=0.000272
t=10 s=3 time=0.000295
t=10 s=2 time=0.000469
t=11 s=11 time=0.0003
t=11 s=9 time=0.000287
t=11 s=4 time=0.000293
t=11 s=3 time=0.000301
t=11 s=2 time=0.000305
t=12 s=12 time=0.000287
t=12 s=10 time=0.000271
t=12 s=3 time=0.000327
t=13 s=13 time=0.000286
t=13 s=11 time=0.000277
t=13 s=4 time=0.000319
t=14 s=14 time=0.00028
t=14 s=12 time=0.000283
t=14 s=5 time=0.000308
t=14 s=3 time=0.000296
t=15 s=15 time=0.000278
t=15 s=13 time=0.0003
t=15 s=4 time=0.000306
t=16 s=16 time=0.000263
t=16 s=14 time=0.00026
t=16 s=5 time=0.000311
t=16 s=2 time=0.000309
t=16 s=1 time=0.000291
t=17 s=17 time=0.00028
t=17 s=15 time=0.000285
t=17 s=6 time=0.00033
t=17 s=3 time=0.000303
t=17 s=2 time=0.000305
t=18 s=18 time=0.000272
t=18 s=16 time=0.000324
t=18 s=5 time=0.000314
t=18 s=4 time=0.000286
t=18 s=3 time=0.000288
t=18 s=2 time=0.000307
t=19 s=19 time=0.000293
t=19 s=17 time=0.000313
t=19 s=6 time=0.000449
t=19 s=5 time=0.000393
t=19 s=4 time=0.000342
t=19 s=3 time=0.000322
t=19 s=2 time=0.00033
t=20 s=20 time=0.000303
t=20 s=18 time=0.000268
t=20 s=7 time=0.000322
t=20 s=6 time=0.000337
t=20 s=5 time=0.00031
t=20 s=3 time=0.000334
t=20 s=2 time=0.000314
t=21 s=21 time=0.000264
t=21 s=19 time=0.000274
t=21 s=6 time=0.000332
t=21 s=5 time=0.000321
t=21 s=4 time=0.000366
t=21 s=3 time=0.000483
t=22 s=22 time=0.000307
t=22 s=20 time=0.000307
t=22 s=7 time=0.000334
t=22 s=6 time=0.000348
t=22 s=5 time=0.000384
t=22 s=4 time=0.000355
t=22 s=3 time=0.000353
t=22 s=2 time=0.000324
t=23 s=23 time=0.000271
t=23 s=21 time=0.000287
t=23 s=8 time=0.000357
t=23 s=7 time=0.000352
t=23 s=6 time=0.000404
t=23 s=3 time=0.000347
t=24 s=24 time=0.000322
t=24 s=22 time=0.000316
t=24 s=7 time=0.000376
t=24 s=5 time=0.000349
t=24 s=4 time=0.000422
t=24 s=3 time=0.000408
t=25 s=25 time=0.000333
t=25 s=23 time=0.000288
t=25 s=8 time=0.000358
t=25 s=6 time=0.000376
t=25 s=5 time=0.000404
t=26 s=26 time=0.000295
t=26 s=24 time=0.000315
t=26 s=9 time=0.000369
t=26 s=7 time=0.000384
t=26 s=6 time=0.000391
t=26 s=4 time=0.000397
t=26 s=3 time=0.000348
t=27 s=27 time=0.000283
t=27 s=25 time=0.000288
t=27 s=8 time=0.000358
t=27 s=5 time=0.000376
t=27 s=4 time=0.000437
t=28 s=28 time=0.000343
t=28 s=26 time=0.000305
t=28 s=9 time=0.000351
t=28 s=6 time=0.000405
t=28 s=5 time=0.000453
t=28 s=4 time=0.000378
t=29 s=29 time=0.000307
t=29 s=27 time=0.000309
t=29 s=10 time=0.000399
t=29 s=6 time=0.00042
t=30 s=30 time=0.000279
t=30 s=28 time=0.000311
t=30 s=9 time=0.000378
t=30 s=8 time=0.00036
t=30 s=7 time=0.000421
t=30 s=5 time=0.000429
t=31 s=31 time=0.000285
t=31 s=29 time=0.000311
t=31 s=10 time=0.000448
t=31 s=9 time=0.000383
t=31 s=8 time=0.000424
t=31 s=6 time=0.00041
t=31 s=5 time=0.000423
t=32 s=32 time=0.000292
t=32 s=30 time=0.000281
t=32 s=11 time=0.000391
t=32 s=10 time=0.000402
t=32 s=9 time=0.000431
t=32 s=7 time=0.000431
t=32 s=6 time=0.000461
t=32 s=2 time=0.000341
t=32 s=1 time=0.000298
t=33 s=33 time=0.00031
t=33 s=31 time=0.000281
t=33 s=10 time=0.00041
t=33 s=9 time=0.000422
t=33 s=8 time=0.000563
t=33 s=7 time=0.000472
t=33 s=3 time=0.000499
t=33 s=2 time=0.000354
t=34 s=34 time=0.000287
t=34 s=32 time=0.000293
t=34 s=11 time=0.000565
t=34 s=10 time=0.000496
t=34 s=9 time=0.00055
t=34 s=8 time=0.000414
t=34 s=6 time=0.000504
t=34 s=4 time=0.000502
t=34 s=3 time=0.000396
t=35 s=35 time=0.000302
t=35 s=33 time=0.000302
t=35 s=12 time=0.000425
t=35 s=11 time=0.000445
t=35 s=10 time=0.000574
t=35 s=7 time=0.000456
t=35 s=5 time=0.00048
t=35 s=4 time=0.000442
t=35 s=3 time=0.000519
t=35 s=2 time=0.000366
t=36 s=36 time=0.000322
t=36 s=34 time=0.000315
t=36 s=11 time=0.000461
t=36 s=9 time=0.000477
t=36 s=8 time=0.00061
t=36 s=7 time=0.000488
t=36 s=6 time=0.000464
t=36 s=5 time=0.00055
t=36 s=4 time=0.000677
t=36 s=3 time=0.000654
t=36 s=2 time=0.00041
t=37 s=37 time=0.000335
t=37 s=35 time=0.000316
t=37 s=12 time=0.000577
t=37 s=10 time=0.000526
t=37 s=9 time=0.00058
t=37 s=8 time=0.000469
t=37 s=7 time=0.000552
t=37 s=6 time=0.000485
t=37 s=5 time=0.00052
t=37 s=4 time=0.000654
t=37 s=3 time=0.000545
t=38 s=38 time=0.000322
t=38 s=36 time=0.000313
t=38 s=13 time=0.000488
t=38 s=11 time=0.000498
t=38 s=10 time=0.000504
t=38 s=8 time=0.00048
t=38 s=7 time=0.000626
t=38 s=6 time=0.000704
t=38 s=5 time=0.000774
t=38 s=2 time=0.000542
t=39 s=39 time=0.000392
t=39 s=37 time=0.000396
t=39 s=12 time=0.00057
t=39 s=9 time=0.000701
t=39 s=8 time=0.000821
t=39 s=7 time=0.000671
t=39 s=6 time=0.000593
t=39 s=4 time=0.000722
t=39 s=3 time=0.000579
t=40 s=40 time=0.000318
t=40 s=38 time=0.000301
t=40 s=13 time=0.000513
t=40 s=10 time=0.000717
t=40 s=9 time=0.000822
t=40 s=8 time=0.000702
t=40 s=7 time=0.000527
t=40 s=6 time=0.000548
t=40 s=5 time=0.000785
t=40 s=4 time=0.000676
t=40 s=3 time=0.000598
t=40 s=2 time=0.000425
t=41 s=41 time=0.000339
t=41 s=39 time=0.000331
t=41 s=14 time=0.000571
t=41 s=11 time=0.000563
t=41 s=10 time=0.000672
t=41 s=9 time=0.000542
t=41 s=8 time=0.00064
t=41 s=7 time=0.000619
t=41 s=3 time=0.000805
t=42 s=42 time=0.000343
t=42 s=40 time=0.000331
t=42 s=13 time=0.000541
t=42 s=12 time=0.000546
t=42 s=11 time=0.000548
t=42 s=10 time=0.000556
t=42 s=9 time=0.000726
t=42 s=8 time=0.000754
t=42 s=7 time=0.000746
t=42 s=6 time=0.000793
t=42 s=5 time=0.000909
t=42 s=4 time=0.00103
t=42 s=3 time=0.000721
t=43 s=43 time=0.000343
t=43 s=41 time=0.000395
t=43 s=14 time=0.000539
t=43 s=13 time=0.000546
t=43 s=12 time=0.000567
t=43 s=11 time=0.000584
t=43 s=10 time=0.000797
t=43 s=9 time=0.000916
t=43 s=8 time=0.000691
t=43 s=6 time=0.000658
t=43 s=5 time=0.000813
t=43 s=4 time=0.001018
t=43 s=3 time=0.000891
t=44 s=44 time=0.000345
t=44 s=42 time=0.000367
t=44 s=15 time=0.000545
t=44 s=14 time=0.000605
t=44 s=13 time=0.000655
t=44 s=11 time=0.000645
t=44 s=10 time=0.00073
t=44 s=7 time=0.000794
t=44 s=6 time=0.000721
t=44 s=4 time=0.001398
t=44 s=3 time=0.000907
t=45 s=45 time=0.000377
t=45 s=43 time=0.000347
t=45 s=14 time=0.000565
t=45 s=13 time=0.000568
t=45 s=12 time=0.000777
t=45 s=11 time=0.000663
t=45 s=9 time=0.000705
t=45 s=8 time=0.001055
t=45 s=7 time=0.000806
t=45 s=6 time=0.000861
t=45 s=5 time=0.001218
t=45 s=4 time=0.001146
t=46 s=46 time=0.000384
t=46 s=44 time=0.000381
t=46 s=15 time=0.000614
t=46 s=14 time=0.00059
t=46 s=13 time=0.000785
t=46 s=12 time=0.000706
t=46 s=10 time=0.000761
t=46 s=9 time=0.000885
t=46 s=8 time=0.000746
t=46 s=7 time=0.001033
t=46 s=6 time=0.001053
t=46 s=4 time=0.001501
t=46 s=3 time=0.001094
t=47 s=47 time=0.000408
t=47 s=45 time=0.000389
t=47 s=16 time=0.000632
t=47 s=15 time=0.000581
t=47 s=14 time=0.00086
t=47 s=11 time=0.0007
t=47 s=10 time=0.000768
t=47 s=8 time=0.000731
t=47 s=7 time=0.000839
t=47 s=5 time=0.001298
t=47 s=4 time=0.001378
t=48 s=48 time=0.000428
t=48 s=46 time=0.000398
t=48 s=15 time=0.000637
t=48 s=13 time=0.000652
t=48 s=12 time=0.000836
t=48 s=11 time=0.000814
t=48 s=9 time=0.000952
t=48 s=8 time=0.000948
t=48 s=7 time=0.000818
t=48 s=6 time=0.001256
t=48 s=5 time=0.001339
t=48 s=4 time=0.000947
t=48 s=3 time=0.00129
t=49 s=49 time=0.000394
t=49 s=47 time=0.000381
t=49 s=16 time=0.000686
t=49 s=14 time=0.000742
t=49 s=13 time=0.000898
t=49 s=12 time=0.00076
t=49 s=10 time=0.000808
t=49 s=9 time=0.000813
t=49 s=7 time=0.001126
t=49 s=5 time=0.001211
t=49 s=4 time=0.001925
