t=39 s=9 time=0.000587
t=39 s=8 time=0.000625
t=39 s=7 time=0.000476
t=39 s=5 time=0.000643
t=39 s=4 time=0.000553
t=40 s=40 time=0.000327
t=40 s=36 time=0.000313
t=40 s=14 time=0.000448
t=40 s=13 time=0.000575
t=40 s=11 time=0.000585
t=40 s=10 time=0.000579
t=40 s=9 time=0.000552
t=40 s=5 time=0.000642
t=40 s=3 time=0.000709
t=40 s=2 time=0.000393
t=41 s=41 time=0.000317
t=41 s=37 time=0.000295
t=41 s=14 time=0.000528
t=41 s=12 time=0.000547
t=41 s=11 time=0.00061
t=41 s=10 time=0.000564
t=41 s=7 time=0.000531
t=41 s=6 time=0.000643
t=41 s=4 time=0.000736
t=41 s=3 time=0.000824
t=42 s=42 time=0.000366
t=42 s=38 time=0.000328
t=42 s=15 time=0.000503
t=42 s=13 time=0.00049
t=42 s=12 time=0.000559
t=42 s=11 time=0.000561
t=42 s=10 time=0.000559
t=42 s=9 time=0.000567
t=42 s=8 time=0.000727
t=42 s=7 time=0.000714
t=42 s=6 time=0.000781
t=42 s=5 time=0.000973
t=42 s=4 time=0.001184
t=42 s=3 time=0.000934
t=43 s=43 time=0.000314
t=43 s=39 time=0.000333
t=43 s=13 time=0.000586
t=43 s=12 time=0.000586
t=43 s=9 time=0.000552
t=43 s=8 time=0.000564
t=43 s=6 time=0.000801
t=43 s=5 time=0.000769
t=43 s=4 time=0.000747
t=44 s=44 time=0.000423
t=44 s=40 time=0.000436
t=44 s=14 time=0.000707
t=44 s=13 time=0.000798
t=44 s=10 time=0.000641
t=44 s=9 time=0.000579
t=44 s=7 time=0.00087
t=44 s=6 time=0.000939
t=44 s=5 time=0.000775
t=44 s=4 time=0.000997
t=44 s=3 time=0.000864
t=44 s=2 time=0.000503
t=45 s=45 time=0.00032
t=45 s=41 time=0.000329
t=45 s=14 time=0.00073
t=45 s=12 time=0.000579
t=45 s=11 time=0.00074
t=45 s=10 time=0.000747
t=45 s=9 time=0.000602
