t=8 s=2 time=0.000269
t=9 s=9 time=0.00029
t=10 s=10 time=0.000338
t=11 s=11 time=0.000408
t=11 s=3 time=0.000325
t=12 s=12 time=0.000309
t=12 s=4 time=0.000296
t=12 s=1 time=0.000268
t=13 s=13 time=0.000449
t=13 s=5 time=0.000371
t=13 s=4 time=0.000274
t=13 s=2 time=0.000271
t=14 s=14 time=0.000299
t=14 s=6 time=0.000306
t=14 s=5 time=0.000283
t=14 s=3 time=0.000284
t=15 s=15 time=0.000274
t=15 s=7 time=0.000288
t=16 s=16 time=0.000278
t=16 s=8 time=0.000294
t=16 s=6 time=0.000285
t=16 s=5 time=0.000273
t=16 s=2 time=0.000268
t=16 s=1 time=0.000275
t=17 s=17 time=0.000262
t=17 s=9 time=0.000368
t=17 s=6 time=0.00044
t=17 s=2 time=0.000365
t=18 s=18 time=0.000276
t=18 s=10 time=0.000319
t=18 s=7 time=0.000477
t=18 s=4 time=0.000312
t=18 s=3 time=0.000292
t=18 s=2 time=0.000286
t=19 s=19 time=0.000285
t=19 s=11 time=0.00028
t=19 s=5 time=0.000304
t=19 s=4 time=0.000336
t=19 s=3 time=0.000306
t=20 s=20 time=0.000266
t=20 s=12 time=0.000312
t=20 s=6 time=0.00035
t=20 s=5 time=0.000377
t=20 s=3 time=0.000338
t=20 s=2 time=0.000274
t=21 s=21 time=0.000274
t=21 s=13 time=0.000303
t=21 s=6 time=0.000314
t=21 s=4 time=0.000385
t=21 s=3 time=0.000315
t=22 s=22 time=0.000292
t=22 s=14 time=0.000281
t=22 s=7 time=0.000318
t=22 s=5 time=0.000369
t=22 s=4 time=0.000464
t=22 s=3 time=0.000341
t=23 s=23 time=0.000294
t=23 s=15 time=0.00028
t=23 s=8 time=0.000313
t=23 s=7 time=0.000364
t=23 s=6 time=0.000452
t=23 s=5 time=0.000379
t=24 s=24 time=0.00029
t=24 s=16 time=0.000302
t=24 s=5 time=0.000349
t=24 s=4 time=0.000337
t=24 s=1 time=0.000278
t=25 s=25 time=0.000267
t=25 s=17 time=0.00027
t=25 s=8 time=0.000308
t=25 s=6 time=0.000363
t=25 s=5 time=0.000364
t=25 s=3 time=0.000353
t=25 s=2 time=0.000343
t=26 s=26 time=0.000281
t=26 s=18 time=0.000281
t=26 s=9 time=0.000374
t=26 s=7 time=0.000482
t=26 s=6 time=0.000535
t=26 s=5 time=0.00042
t=26 s=4 time=0.000482
t=26 s=3 time=0.000452
t=26 s=2 time=0.00042
t=27 s=27 time=0.000407
t=27 s=19 time=0.000378
t=27 s=5 time=0.000476
t=27 s=4 time=0.000566
t=28 s=28 time=0.000454
t=28 s=20 time=0.000366
t=28 s=10 time=0.000374
t=28 s=9 time=0.000371
t=28 s=6 time=0.000403
t=28 s=5 time=0.000587
t=28 s=3 time=0.000348
t=28 s=2 time=0.000345
t=29 s=29 time=0.000343
t=29 s=21 time=0.000289
t=29 s=10 time=0.000318
t=29 s=6 time=0.000555
t=29 s=3 time=0.000392
t=30 s=30 time=0.000333
t=30 s=22 time=0.000306
t=30 s=11 time=0.000342
t=30 s=8 time=0.000387
t=30 s=7 time=0.000537
t=30 s=6 time=0.000491
t=30 s=5 time=0.000532
t=30 s=4 time=0.000483
t=30 s=3 time=0.000404
t=31 s=31 time=0.00031
t=31 s=23 time=0.000299
t=31 s=9 time=0.000433
t=31 s=8 time=0.000665
t=31 s=7 time=0.000446
t=31 s=6 time=0.000468
t=31 s=5 time=0.000444
t=32 s=32 time=0.00034
t=32 s=24 time=0.00032
t=32 s=10 time=0.000391
t=32 s=9 time=0.000557
t=32 s=7 time=0.000497
t=32 s=6 time=0.000524
t=32 s=4 time=0.000418
t=32 s=3 time=0.000392
t=32 s=2 time=0.000368
t=32 s=1 time=0.000313
t=33 s=33 time=0.00034
t=33 s=25 time=0.000344
t=33 s=10 time=0.000438
t=33 s=8 time=0.000557
t=33 s=7 time=0.000484
t=33 s=5 time=0.000504
t=33 s=3 time=0.000518
t=33 s=2 time=0.000437
t=34 s=34 time=0.000353
t=34 s=26 time=0.00031
t=34 s=11 time=0.000431
t=34 s=9 time=0.000468
t=34 s=8 time=0.000471
t=34 s=6 time=0.000546
t=34 s=5 time=0.000472
t=34 s=4 time=0.000569
t=34 s=3 time=0.000471
t=34 s=2 time=0.000349
t=35 s=35 time=0.000305
t=35 s=27 time=0.000315
t=35 s=12 time=0.000582
t=35 s=11 time=0.000446
t=35 s=10 time=0.000465
t=35 s=9 time=0.000488
t=35 s=5 time=0.000508
t=35 s=4 time=0.000521
